Joey Tribbiani
Ross Geller
Chandler Bing
Mathew Perry
Matt LeBlank
David Schwimmer
Mike Hannigan
Paul Rudd
Tom Selleck
Richard Burke
Evangeline Lilly
Kate Austen
Claire Littleton
Emilie deRaven
Elizabeth Mitchell
Juliet Burke
Maggie Grace
Shannon Rutherford
Ana-Lucia Cortez
Michelle Rodriguez
Mathew Fox
Jack Shepard
Gorge Garcia
Hugo Reyes
Josh Holloway
James Ford
Terry OQuinn
John Locke
Domonic Monaghan
Charlie Pace
Rene Moiser
Brandi Svenning
Gwen Turner
Alyssa Jones
Bethany Sloane
Caitlin Bree
Gertie Trinke
Gertrude Steiney
Chrissy Missy
Justice Sissy
Dante Hicks
Randal Graves
Kevin Smith
Jason Mewes
T.S. Quint
Brodie Bruce
Holden McNeil
Banky Edwards
Willam Black
Shannon Hamilton
Meredith Grey
Christina Yang
Izzie Stevens
Alex Karev
Goerge Omalley
Miranda Bailey
Richard Webber
Derek Sheperd
Preston Burke
Callie Torres
Addison Montgomery
Mark Sloane
Lexy Grey
